,USGS-01434000,USGS-01531000,USGS-04235500,USGS-04236500
1900-01-31,0.0,0.0,0.0,14.087631179520002
1900-02-28,0.0,0.0,0.0,22.817714983833604
1900-03-31,0.0,0.0,0.0,12.768066128332801
1900-04-30,0.0,0.0,0.0,7.707845642342401
1900-05-31,0.0,0.0,0.0,16.3274937449472
1900-06-30,0.0,0.0,0.0,29.149361881804804
1900-07-31,0.0,0.0,0.0,40.609189697587205
1900-08-31,0.0,0.0,0.0,60.654685400064004
1900-09-30,0.0,0.0,0.0,57.2453370703872
1900-10-31,0.0,0.0,0.0,81.9801025684992
1900-11-30,0.0,0.0,0.0,70.2710865027072
1900-12-31,0.0,0.0,0.0,44.2422411153408
1901-01-31,0.0,0.0,0.0,31.604432481331205
1901-02-28,0.0,0.0,0.0,25.371894546432003
1901-03-31,0.0,0.0,0.0,37.86245557816321
1901-04-30,0.0,0.0,0.0,75.06229694607362
1901-05-31,0.0,0.0,0.0,105.08948107223041
1901-06-30,0.0,0.0,0.0,147.42316672727043
1901-07-31,0.0,0.0,0.0,112.67839595888643
1901-08-31,0.0,0.0,0.0,83.75556884981762
1901-09-30,0.0,0.0,0.0,70.87423533511681
1901-10-31,0.0,0.0,0.0,86.71184763402242
1901-11-30,0.0,0.0,0.0,87.49905596928001
1901-12-31,0.0,0.0,0.0,72.37219651983361
1902-01-31,0.0,0.0,0.0,62.49528042854401
1902-02-28,0.0,0.0,0.0,55.9286037038592
1902-03-31,0.0,0.0,0.0,67.72257030942721
1902-04-30,0.0,0.0,0.0,63.75538010188801
1902-05-31,0.0,0.0,0.0,65.79702474117121
1902-06-30,0.0,0.0,0.0,66.0150644599296
1902-07-31,0.0,0.0,0.0,87.95212551475201
1902-08-31,0.0,0.0,0.0,131.22026710732803
1902-09-30,0.0,0.0,0.0,108.25530452121602
1902-10-31,0.0,0.0,0.0,102.56361835622403
1902-11-30,0.0,0.0,0.0,95.73359495823362
1902-12-31,0.0,0.0,0.0,74.66586109378562
1903-01-31,0.0,0.0,0.0,70.46080937487362
1903-02-28,0.0,0.0,0.0,64.84841038033922
